City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,275.1,57,79,3.58,TF,1690782507
1,adamstown,-25.066,-130.1015,292.24,57,9,9.86,PN,1690782407
2,west island,-12.1568,96.8225,299.14,83,75,7.72,CC,1690782510
3,shimoda,34.6667,138.95,304.87,73,99,5.23,JP,1690782511
4,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,88,75,5.0,RU,1690782512
5,xique xique,-10.8217,-42.7311,295.33,67,26,7.75,BR,1690782515
6,colonia,50.9333,6.95,291.81,79,75,2.57,DE,1690782516
7,tiksi,71.6872,128.8694,277.94,82,49,4.14,RU,1690782517
8,talcahuano,-36.7167,-73.1167,284.97,100,100,1.03,CL,1690782518
9,grytviken,-54.2811,-36.5092,271.07,81,100,6.26,GS,1690782405
10,rio grande,-32.035,-52.0986,282.01,84,95,2.76,BR,1690782460
11,vorgashor,67.5833,63.95,296.1,50,88,2.79,RU,1690782523
12,college,64.8569,-147.8028,294.59,70,75,1.54,US,1690782524
13,hawaiian paradise park,19.5933,-154.9731,297.88,94,40,4.63,US,1690782525
14,severo-yeniseyskiy,60.3725,93.0408,294.06,86,99,0.12,RU,1690782527
15,ghat,24.9647,10.1728,306.98,11,40,1.19,LY,1690782528
16,aasiaat,68.7098,-52.8699,275.91,91,100,2.44,GL,1690782529
17,nueva gerona,21.8833,-82.8,301.42,74,100,0.85,CU,1690782530
18,tolanaro,-25.0319,46.9987,290.19,94,20,1.03,MG,1690782532
19,tazovsky,67.4667,78.7,290.1,72,30,4.81,RU,1690782533
20,mawlaik,23.6333,94.4167,302.32,92,94,1.7,MM,1690782534
21,whitehorse,60.7161,-135.0538,293.88,65,75,4.02,CA,1690782463
22,hithadhoo,-0.6,73.0833,301.09,73,72,1.13,MV,1690782536
23,brisas de zicatela,15.8369,-97.0419,299.98,78,94,2.61,MX,1690782538
24,muroto-misakicho,33.2833,134.15,301.52,79,100,1.88,JP,1690782539
25,sohar,24.3643,56.7468,306.16,70,30,3.09,OM,1690782540
26,hue,16.4667,107.6,309.21,44,75,5.66,VN,1690782541
27,labuan,5.2767,115.2417,304.35,74,20,1.03,MY,1690782542
28,invercargill,-46.4,168.35,283.16,85,70,5.81,NZ,1690782545
29,cururupu,-1.8283,-44.8683,296.96,96,16,1.93,BR,1690782282
30,brokopondo,4.75,-55.1667,298.01,90,43,2.89,SR,1690782547
31,waingapu,-9.6567,120.2641,302.48,56,6,7.35,ID,1690782549
32,puerto ayora,-0.7393,-90.3518,297.34,96,61,2.24,EC,1690782550
33,tukrah,32.5341,20.5791,300.7,65,0,5.43,LY,1690782551
34,al hasakah,36.5024,40.7477,304.15,38,0,1.33,SY,1690782552
35,nemuro,43.3236,145.575,292.43,96,99,7.03,JP,1690782553
36,yambio,4.5721,28.3955,294.68,95,99,0.96,SS,1690782555
37,talnakh,69.4865,88.3972,296.71,63,41,4.05,RU,1690782405
38,nizhneudinsk,54.9076,99.0276,303.91,33,11,1.88,RU,1690782557
39,mount pearl,47.5166,-52.7813,287.67,97,100,2.57,CA,1690782558
40,antsiranana,-12.2787,49.2917,299.57,61,40,6.17,MG,1690782560
41,kapuskasing,49.4169,-82.4331,281.2,87,20,1.54,CA,1690782561
42,stanley,54.868,-1.6985,287.99,94,100,1.03,GB,1690782562
43,puerto natales,-51.7236,-72.4875,271.44,88,56,2.68,CL,1690782563
44,bilibino,68.0546,166.4372,280.46,89,100,1.1,RU,1690782564
45,cabo san lucas,22.8909,-109.9124,304.55,61,0,6.23,MX,1690782566
46,mizque,-17.941,-65.3402,285.41,78,0,0.37,BO,1690782567
47,taoudenni,22.6783,-3.9836,307.57,26,6,5.65,ML,1690782569
48,yellowknife,62.456,-114.3525,293.46,72,25,1.79,CA,1690782570
49,salaberry-de-valleyfield,45.2501,-74.1325,289.36,98,90,1.54,CA,1690782356
50,east london,-33.0153,27.9116,286.67,47,0,8.23,ZA,1690782572
51,south hedland,-20.4089,118.5983,304.11,11,40,6.69,AU,1690782574
52,janakkala,60.9,24.6,288.6,87,98,2.26,FI,1690782575
53,papatowai,-46.5619,169.4708,281.87,91,88,4.75,NZ,1690782576
54,wailua homesteads,22.0669,-159.378,300.39,81,40,6.17,US,1690782423
55,blackmans bay,-43.0167,147.3167,284.22,77,42,9.42,AU,1690782578
56,leo,11.1,-2.1,296.78,86,100,2.82,BF,1690782580
57,ancud,-41.8697,-73.8203,283.37,93,100,3.36,CL,1690782452
58,milicz,51.5277,17.2714,290.29,67,100,3.57,PL,1690782496
59,merizo village,13.2658,144.6691,304.46,77,92,5.5,GU,1690782583
60,ushuaia,-54.8,-68.3,275.96,81,0,11.32,AR,1690782584
61,ambon,-3.6954,128.1814,300.23,78,40,3.09,ID,1690782586
62,waitangi,-43.9535,-176.5597,281.38,92,50,0.89,NZ,1690782404
63,hotan,37.0997,79.9269,303.93,20,2,3.54,CN,1690782588
64,longyearbyen,78.2186,15.6401,282.06,66,75,1.03,SJ,1690782422
65,padang,-0.9492,100.3543,304.18,77,97,2.31,ID,1690782590
66,thompson,55.7435,-97.8558,287.24,100,100,0.0,CA,1690782592
67,albany,42.6001,-73.9662,289.22,88,18,0.89,US,1690782413
68,bethel,41.3712,-73.414,290.09,82,0,2.06,US,1690782450
69,neya,58.2972,43.8681,292.6,84,57,1.06,RU,1690782595
70,mount gambier,-37.8333,140.7667,286.16,79,75,6.99,AU,1690782391
71,oskarshamn,57.2645,16.4484,288.7,78,100,2.25,SE,1690782598
72,olinda,-8.0089,-34.8553,296.0,94,20,2.57,BR,1690782599
73,nuuk,64.1835,-51.7216,275.49,100,100,3.09,GL,1690782034
74,malango,-2.9627,119.9001,301.69,49,33,2.68,ID,1690782601
75,nova vicosa,-17.8919,-39.3719,294.36,78,100,4.18,BR,1690782603
76,nizhnyaya tavda,57.6731,66.1725,295.66,71,50,2.52,RU,1690782604
77,iqaluit,63.7506,-68.5145,277.98,93,100,1.34,CA,1690782374
78,iligan city,8.25,124.4,303.56,63,31,2.96,PH,1690782606
79,saudarkrokur,65.7461,-19.6394,282.52,92,100,1.23,IS,1690782607
80,zouerate,22.7187,-12.4521,300.91,37,8,5.52,MR,1690782609
81,vernon,50.2581,-119.2691,295.49,37,35,0.51,CA,1690782464
82,udachny,66.4167,112.4,296.18,30,18,4.12,RU,1690782611
83,margaret river,-33.95,115.0667,289.02,56,76,3.42,AU,1690782612
84,bodmin,50.4715,-4.7243,289.51,94,75,5.14,GB,1690782614
85,mogadishu,2.0371,45.3438,299.08,89,40,5.14,SO,1690782428
86,edinburgh of the seven seas,-37.0676,-12.3116,286.67,91,100,7.79,SH,1690782616
87,crane,31.3974,-102.3501,301.8,40,46,4.76,US,1690782617
88,bardai,11.65,7.2333,296.4,85,80,3.43,NG,1690782455
89,aykhal,66.0,111.5,294.85,28,60,5.1,RU,1690782620
90,afaahiti,-17.75,-149.2833,297.08,77,57,8.96,PF,1690782444
91,bredasdorp,-34.5322,20.0403,283.31,77,85,6.77,ZA,1690782623
92,cherdyn',60.403,56.4787,298.53,42,3,4.62,RU,1690782624
93,nikolayevsk-on-amure,53.1406,140.73,300.78,37,16,3.07,RU,1690782626
94,port isabel,26.0734,-97.2086,302.6,86,0,4.12,US,1690782627
95,samfya,-11.3649,29.5565,291.73,42,6,2.03,ZM,1690782628
96,raja,8.4596,25.678,295.06,94,100,0.46,SS,1690782629
97,alpu,39.769,30.9606,294.46,49,0,0.64,TR,1690782632
98,saint ann's bay,18.4358,-77.201,296.42,77,31,3.32,JM,1690782633
99,talara,-4.5772,-81.2719,294.34,84,8,5.49,PE,1690782634
100,remire-montjoly,4.9167,-52.2667,296.17,94,0,1.03,GF,1690782635
101,mohr,54.3528,9.7167,288.2,94,75,4.63,DE,1690782637
102,videira,-27.0083,-51.1517,282.83,97,28,0.66,BR,1690782638
103,lebu,-37.6167,-73.65,285.53,89,100,2.96,CL,1690782639
104,nyazepetrovsk,56.0531,59.6028,295.31,54,96,3.76,RU,1690782640
105,salmon arm,50.6998,-119.3024,295.77,30,25,0.51,CA,1690782641
106,nova sintra,14.8667,-24.7167,296.27,82,99,1.79,CV,1690782643
107,ust'-ilimsk,58.0006,102.6619,291.53,93,100,3.6,RU,1690782644
108,hoa binh,20.8133,105.3383,305.37,76,99,0.76,VN,1690782645
109,sanctuary point,-35.1114,150.629,294.37,38,0,3.77,AU,1690782647
110,carnarvon,-24.8667,113.6333,296.23,30,0,2.07,AU,1690782450
111,olonkinbyen,70.9221,-8.7187,279.43,89,100,1.4,SJ,1690782411
112,masterton,-40.9597,175.6575,284.75,85,50,4.0,NZ,1690782651
113,badger,64.8,-147.5333,294.55,73,100,1.54,US,1690782652
114,aden,12.7794,45.0367,304.13,67,59,5.44,YE,1690782654
115,oranjemund,-28.55,16.4333,283.07,70,0,4.34,NA,1690782655
116,singkil,-7.9855,111.4161,302.35,48,17,2.94,ID,1690782489
117,xilin hot,43.9667,116.0333,302.92,39,100,5.16,CN,1690782657
118,purpe,64.4803,76.6897,295.52,56,43,6.06,RU,1690782658
119,lihue,21.9789,-159.3672,300.73,76,40,6.17,US,1690782660
120,miquelon,47.0975,-56.3814,289.15,89,88,3.74,PM,1690782661
121,abu dhabi,24.4667,54.3667,308.12,62,0,1.54,AE,1690782662
122,jertih,5.7336,102.4897,299.63,88,100,2.05,MY,1690782663
123,leh,34.1667,77.5833,293.0,33,31,2.12,IN,1690782664
124,katsuren-haebaru,26.3369,127.8719,304.36,75,75,12.35,JP,1690782666
125,constantia,44.1833,28.65,296.53,65,30,3.16,RO,1690782412
126,vinhais,41.8351,-7.005,287.83,60,0,1.72,PT,1690782668
127,nishinoomote,30.7333,131.0,299.46,100,75,4.12,JP,1690782669
128,kirkwood,38.5834,-90.4068,299.03,81,75,3.6,US,1690782390
129,hadibu,12.65,54.0333,299.86,76,53,11.51,YE,1690782415
130,huarmey,-10.0681,-78.1522,292.59,85,31,3.72,PE,1690782673
131,keflavik,64.0049,-22.5624,284.1,93,75,1.54,IS,1690782674
132,ugoofaaru,5.6667,73.0,301.5,77,100,4.69,MV,1690782675
133,barcelos,41.5388,-8.6151,289.77,80,0,1.11,PT,1690782677
134,happy valley-goose bay,53.3168,-60.3315,286.32,88,100,2.06,CA,1690782679
135,altai,46.3722,96.2583,292.99,44,100,6.04,MN,1690782680
136,polyarnyye zori,67.3661,32.4981,290.19,76,7,0.85,RU,1690782453
137,irati,-25.4672,-50.6511,282.5,98,20,0.28,BR,1690782683
138,canchungo,12.0672,-16.0333,298.22,92,98,1.18,GW,1690782684
139,puerto baquerizo moreno,-0.9,-89.6,297.49,83,74,5.5,EC,1690782685
140,vanimo,-2.6741,141.3028,302.75,68,59,2.49,PG,1690782686
141,akrehamn,59.2667,5.1833,287.29,94,20,1.03,NO,1690782688
142,viedma,-40.8135,-62.9967,282.78,72,54,4.0,AR,1690782511
143,holualoa,19.6228,-155.9522,298.06,71,40,2.06,US,1690782690
144,chonchi,-42.6128,-73.8092,281.71,94,100,2.72,CL,1690782449
145,boende,-0.2167,20.8667,298.04,79,58,1.12,CD,1690782693
146,tucuma,-0.1833,-50.05,297.24,93,3,2.58,BR,1690782436
147,saanen,46.4896,7.2596,286.22,75,85,0.91,CH,1690782566
148,wick,58.4333,-3.0833,284.18,93,75,0.0,GB,1690782696
149,portland,45.5234,-122.6762,294.47,63,0,3.09,US,1690782430
150,gohpur,26.8833,93.6333,308.08,60,82,1.95,IN,1690782699
151,tilcara,-23.5776,-65.3509,279.37,27,0,1.67,AR,1690782700
152,bubaque,11.2833,-15.8333,299.55,79,100,4.02,GW,1690782701
153,la passe,45.5549,-0.8967,292.03,81,20,2.77,FR,1690782702
154,sisimiut,66.9395,-53.6735,277.75,87,100,1.23,GL,1690782704
155,jamestown,42.097,-79.2353,292.92,88,0,2.06,US,1690782436
156,porto novo,6.4965,2.6036,298.05,96,92,1.84,BJ,1690782706
157,matadi,-5.8167,13.45,292.94,86,14,1.0,CD,1690782707
158,avarua,-21.2078,-159.775,298.18,94,67,2.06,CK,1690782708
159,richards bay,-28.783,32.0377,289.06,70,15,1.65,ZA,1690782710
160,faxinal,-24.0003,-51.3194,284.72,89,0,1.08,BR,1690782711
161,san felice circeo,41.2372,13.0942,298.24,99,63,0.89,IT,1690782712
162,galveston,29.3669,-94.9669,302.57,84,0,3.6,US,1690782656
163,naze,28.3667,129.4833,301.66,90,100,10.83,JP,1690782716
164,prestea,5.4327,-2.1428,295.7,98,66,1.0,GH,1690782717
165,susuman,62.7833,148.1667,281.95,81,100,2.54,RU,1690782718
166,choele choel,-39.2667,-65.6833,286.51,66,100,0.96,AR,1690782719
167,reggane,26.7158,0.1714,309.71,9,0,5.21,DZ,1690782721
168,kayangel,8.0823,134.7173,302.17,74,83,3.01,PW,1690782722
169,vilyuchinsk,52.9306,158.4028,287.3,85,97,3.17,RU,1690782723
170,luderitz,-26.6481,15.1594,284.51,49,0,4.64,NA,1690782724
171,alofi,-19.0595,-169.9187,294.09,94,100,4.63,NU,1690782725
172,midvagur,62.0511,-7.1939,285.61,82,75,1.54,FO,1690782727
173,benghazi,32.1167,20.0667,300.43,69,0,5.75,LY,1690782728
174,sao miguel,-5.4667,-35.3667,296.58,89,3,6.25,BR,1690782729
175,vila franca do campo,37.7167,-25.4333,296.38,91,3,1.33,PT,1690782730
176,baiti,13.745,-14.7482,296.74,89,100,2.49,SN,1690782732
177,najran,17.4924,44.1277,305.51,17,71,4.74,SA,1690782733
178,anadyr,64.75,177.4833,286.43,87,75,2.0,RU,1690782734
179,port lincoln,-34.7333,135.8667,287.84,71,99,5.79,AU,1690782735
180,balimila,18.25,82.1333,297.7,93,100,2.11,IN,1690782736
181,jiamusi,46.8333,130.35,303.9,47,34,1.73,CN,1690782592
182,tumayr,25.7039,45.868,312.64,7,9,6.08,SA,1690782739
183,coahuayana de hidalgo,18.7,-103.6583,298.8,92,97,1.98,MX,1690782740
184,lhasa,29.65,91.1,294.12,49,100,2.04,CN,1690782741
185,hermanus,-34.4187,19.2345,284.15,75,84,7.42,ZA,1690782743
186,tsiombe,-25.3,45.4833,295.19,36,75,2.04,MG,1690782744
187,smithers,54.7804,-127.1743,290.33,59,75,2.57,CA,1690782465
188,weno,7.4515,151.8468,302.14,71,11,4.43,FM,1690782747
189,rongelap,11.1635,166.8941,301.8,78,100,8.24,MH,1690782748
190,sasayama,35.0667,135.2167,306.88,57,100,4.05,JP,1690782751
191,enewetak,11.3474,162.3373,301.53,81,96,6.73,MH,1690782752
192,dongdu,35.85,117.7,302.97,72,96,6.36,CN,1690782753
193,changtu,42.7788,124.0955,302.55,68,98,3.88,CN,1690782754
194,haiku-pauwela,20.9219,-156.3051,299.16,70,20,8.23,US,1690782756
195,ishii,34.0667,134.4333,305.32,79,75,5.66,JP,1690782757
196,mil'kovo,55.6078,37.7956,294.37,53,68,2.99,RU,1690782758
197,ad dilam,23.9915,47.1627,312.38,9,19,3.01,SA,1690782759
198,ulladulla,-35.35,150.4667,292.91,39,0,2.88,AU,1690782468
199,oriximina,-1.7656,-55.8661,298.08,72,5,1.7,BR,1690782512
200,bikenibeu village,1.3673,173.1241,302.13,79,100,7.72,KI,1690782763
201,puerto real,36.5282,-6.1901,294.24,88,0,0.0,ES,1690782764
202,taroa,8.7058,171.2275,301.53,80,87,7.68,MH,1690782483
203,madang,-5.2246,145.7966,300.9,78,99,1.92,PG,1690782767
204,isafjordur,66.0755,-23.124,281.6,92,21,1.69,IS,1690782768
205,dudinka,69.4058,86.1778,295.53,62,66,6.76,RU,1690782769
206,opuwo,-18.0607,13.84,284.23,26,0,3.63,NA,1690782770
207,kingston,17.997,-76.7936,301.68,80,20,3.09,JM,1690782771
208,monduli,-3.3,36.45,288.24,62,56,2.49,TZ,1690782773
209,el calafate,-50.3408,-72.2768,269.01,75,51,1.22,AR,1690782774
210,antalaha,-14.9003,50.2788,297.08,75,45,2.85,MG,1690782775
211,ingeniero jacobacci,-41.3427,-69.5448,279.65,78,100,2.64,AR,1690782776
212,inhapi,-9.2214,-37.7486,289.61,99,15,1.54,BR,1690782778
213,tura,25.5198,90.2201,305.21,66,88,1.33,IN,1690782779
214,guerrero negro,27.9769,-114.0611,294.5,83,0,4.22,MX,1690782503
215,punta del este,-34.9667,-54.95,287.02,87,0,2.06,UY,1690782782
216,bujaru,-1.515,-48.0447,295.27,99,10,1.12,BR,1690782784
217,port shepstone,-30.7414,30.455,287.19,45,0,2.58,ZA,1690782785
218,qaqortoq,60.7167,-46.0333,279.25,83,84,0.72,GL,1690782786
219,chimbote,-9.0853,-78.5783,292.71,85,29,3.42,PE,1690782787
220,jatai,-17.8814,-51.7144,291.57,57,0,1.86,BR,1690782788
221,ostersund,63.1792,14.6357,288.49,94,75,4.12,SE,1690782790
222,takoradi,4.8845,-1.7554,296.98,92,57,2.84,GH,1690782791
223,klyuchi,52.2667,79.1667,301.56,36,0,3.72,RU,1690782792
224,bamnet narong,15.4992,101.6897,302.73,69,100,7.35,TH,1690782793
225,san antonio de pale,-1.4014,5.6325,295.68,79,82,6.91,GQ,1690782795
226,kununurra,-15.7667,128.7333,307.14,27,44,4.12,AU,1690782796
227,ta`u,-14.2336,-169.5144,300.13,78,84,4.39,AS,1690782797
228,kudat,6.8837,116.8477,305.11,74,20,3.13,MY,1690782798
229,mashhad,36.297,59.6062,306.23,27,0,5.14,IR,1690782799
230,daru,-9.0763,143.2092,299.33,74,92,4.8,PG,1690782801
231,nantucket,41.2835,-70.0995,295.18,88,0,3.6,US,1690782802
232,kill devil hills,36.0307,-75.676,297.03,72,0,2.06,US,1690782804
233,port mathurin,-19.6833,63.4167,296.57,71,71,9.18,MU,1690782806
234,marquette,46.5333,-87.6335,288.35,81,9,0.89,US,1690782807
235,bathsheba,13.2167,-59.5167,301.49,89,40,3.6,BB,1690782808
236,cody,44.5263,-109.0565,293.27,60,0,0.0,US,1690782679
237,saipan,15.1355,145.701,304.54,100,20,5.14,MP,1690782810
238,papao,-17.75,-149.55,297.97,74,64,10.37,PF,1690782519
239,kodiak,57.79,-152.4072,290.88,59,0,0.0,US,1690782813
240,namibe,-15.1961,12.1522,288.65,85,9,0.76,AO,1690782814
241,georgetown,5.4112,100.3354,302.11,82,20,1.54,MY,1690782805
242,sittwe,20.15,92.9,301.04,86,100,9.78,MM,1690782816
243,dongcun,36.7767,121.1597,301.91,77,94,5.68,CN,1690782818
244,verkhnevilyuysk,63.4453,120.3167,294.67,24,0,4.64,RU,1690782819
245,newman,37.3138,-121.0208,301.14,47,98,0.45,US,1690782783
246,singaraja,-8.112,115.0882,301.79,63,45,1.99,ID,1690782821
247,kirs,59.3388,52.2447,295.65,71,3,4.23,RU,1690782823
248,utrik,11.2278,169.8474,301.63,80,96,8.12,MH,1690782825
249,pijino del carmen,9.3291,-74.453,296.06,94,100,1.99,CO,1690782826
250,labrador city,52.9463,-66.9114,277.1,100,20,1.54,CA,1690782610
251,nizhnevartovsk,60.9344,76.5531,293.16,100,100,4.0,RU,1690782541
252,taltal,-25.4,-70.4833,289.65,77,36,1.42,CL,1690782830
253,tamanrasset,22.785,5.5228,296.1,15,0,2.06,DZ,1690782831
254,trinidad,-14.8333,-64.9,295.38,57,1,0.98,BO,1690782657
255,iskateley,67.6803,53.1512,299.61,64,70,4.37,RU,1690782833
256,akdepe,42.0551,59.3788,306.2,16,32,3.71,TM,1690782835
257,cumana,10.4635,-64.1775,298.98,82,76,1.8,VE,1690782836
258,greymouth,-42.4667,171.2,283.39,90,65,3.77,NZ,1690782837
259,island harbour,50.724,-1.2758,291.57,96,100,2.68,GB,1690782838
260,ketchikan,55.3422,-131.6461,288.14,100,100,2.06,US,1690782839
261,mahibadhoo,3.7833,72.9667,301.42,74,99,3.41,MV,1690782841
262,al hazm,16.1641,44.7769,308.17,23,88,4.83,YE,1690782842
263,imeni morozova,59.9757,31.0376,293.68,58,100,1.37,RU,1690782843
264,ilulissat,69.2167,-51.1,277.16,100,100,2.06,GL,1690782844
265,uturoa,-16.7333,-151.4333,299.53,77,47,9.3,PF,1690782846
266,farasan,16.7022,42.1183,304.28,81,79,4.41,SA,1690782847
267,sopur,34.3,74.4667,299.69,52,0,1.43,IN,1690782848
268,ghogha,21.6833,72.2833,303.78,69,99,7.9,IN,1690782849
269,bel ombre,-4.6167,55.4167,300.06,78,40,5.14,SC,1690782851
270,zabol,32.25,67.25,302.79,21,9,2.51,AF,1690782852
271,st. john's,47.5649,-52.7093,288.13,97,100,2.57,CA,1690782853
272,la ronge,55.1001,-105.2842,291.29,72,40,1.54,CA,1690782854
273,alto araguaia,-17.3147,-53.2153,291.61,51,34,1.86,BR,1690782856
274,lompoc,34.6391,-120.4579,290.23,89,0,1.54,US,1690782857
275,atafu village,-8.5421,-172.5159,301.41,78,61,7.28,TK,1690782793
276,baley,51.6,116.6333,306.5,24,94,6.43,RU,1690782859
277,lamu,-2.2717,40.902,298.27,70,53,6.47,KE,1690782861
278,ust-nera,64.5667,143.2,281.07,95,100,3.24,RU,1690782862
279,tsimlyansk,47.6461,42.1019,299.96,40,9,0.44,RU,1690782863
280,lashio,22.9333,97.75,296.26,97,100,0.9,MM,1690782864
281,hinton,53.4001,-117.5857,284.76,95,33,1.89,CA,1690782866
282,micheweni,-4.9667,39.8333,298.67,67,67,5.76,TZ,1690782867
283,tannum sands,-23.9504,151.3693,297.09,46,68,4.63,AU,1690782868
284,sibolga,1.7427,98.7792,302.95,65,100,2.15,ID,1690782869
